Rockabye (feat. Sean Paul & Anne-Marie),5,2017-01-12,Clean Bandit,Global,top200,3204571
Shape of You,1,2017-01-13,Ed Sheeran,Global,top200,7275946
Castle on the Hill,2,2017-01-13,Ed Sheeran,Global,top200,4195411
Starboy,3,2017-01-13,"The Weeknd, Daft Punk",Global,top200,3747787
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",4,2017-01-13,"ZAYN, Taylor Swift",Global,top200,3468827
Rockabye (feat. Sean Paul & Anne-Marie),5,2017-01-13,Clean Bandit,Global,top200,3412242
Shape of You,1,2017-01-14,Ed Sheeran,Global,top200,7093868
Castle on the Hill,2,2017-01-14,Ed Sheeran,Global,top200,4007488
Starboy,3,2017-01-14,"The Weeknd, Daft Punk",Global,top200,3663324
Rockabye (feat. Sean Paul & Anne-Marie),4,2017-01-14,Clean Bandit,Global,top200,3458474
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",5,2017-01-14,"ZAYN, Taylor Swift",Global,top200,3417668
Shape of You,1,2017-01-15,Ed Sheeran,Global,top200,6451891
Castle on the Hill,2,2017-01-15,Ed Sheeran,Global,top200,3581077
Starboy,3,2017-01-15,"The Weeknd, Daft Punk",Global,top200,3203886
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",4,2017-01-15,"ZAYN, Taylor Swift",Global,top200,3087541
Paris,5,2017-01-15,The Chainsmokers,Global,top200,3025149
Shape of You,1,2017-01-16,Ed Sheeran,Global,top200,7071702
Castle on the Hill,2,2017-01-16,Ed Sheeran,Global,top200,3833973
Paris,3,2017-01-16,The Chainsmokers,Global,top200,3440753
Starboy,4,2017-01-16,"The Weeknd, Daft Punk",Global,top200,3361644
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",5,2017-01-16,"ZAYN, Taylor Swift",Global,top200,3324763
Shape of You,1,2017-02-01,Ed Sheeran,Global,top200,7549041
Paris,2,2017-02-01,The Chainsmokers,Global,top200,4181293
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3,2017-02-01,"ZAYN, Taylor Swift",Global,top200,3838281
Despacito (Featuring Daddy Yankee),4,2017-02-01,Luis Fonsi,Global,top200,3460006
Castle on the Hill,5,2017-02-01,Ed Sheeran,Global,top200,3456727
Shape of You,1,2017-02-02,Ed Sheeran,Global,top200,7602214
Paris,2,2017-02-02,The Chainsmokers,Global,top200,4165357
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3,2017-02-02,"ZAYN, Taylor Swift",Global,top200,3864527
Despacito (Featuring Daddy Yankee),4,2017-02-02,Luis Fonsi,Global,top200,3582750
Castle on the Hill,5,2017-02-02,Ed Sheeran,Global,top200,3440258
Shape of You,1,2017-02-03,Ed Sheeran,Global,top200,7881255
Paris,2,2017-02-03,The Chainsmokers,Global,top200,4285994
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3,2017-02-03,"ZAYN, Taylor Swift",Global,top200,4034520
